latent_id,first_name,last_name,id,email,phone,product
1,jesse,,,ajcikjhgel@mail.com,,
1,jesse,agjus,,ajcikjhgel@mail.com,,
1,lesze,agius,,ajcikjhgel@mail.com,,
1,jesse,agis,,ajcikjhgel@mail.com,,
2,brooke,,,aceghiabag@mail.kz,,
2,brooke,egvn,,aceghiabag@mail.kz,,
0,barkly,,,jcfkjhdiea@mail.com,,
2,brooke,,,aceghiabag@mail.kz,,
4,daniel,rawliongs,,cibaiglgck@gmail.com,,
4,taniel,rawiings,498768067,cibaiglgck@gmail.com,,
4,taniel,rawlinks,498760867,cibaiglgck@gmail.com,03 2441 4089,LG Motion 4G
2,brooke,,,aceghiabag@mail.kz,,
2,,,,aceghiabag@mail.kz,,HTC Wildfire S
2,brook,egan,,aceghiabag@mail.kz,,
2,,egan,,aceghiabag@mail.kz,,
0,barkly,,,jcfkjhdiea@mail.com,,
0,,,061732469,jcfkjhdiea@mail.com,,
0,,loezos,,jcfkjhdiea@mail.com,,Samsung Stratosphere
2,brooke,,,aceghiabag@mail.kz,,
3,,ito,,agjfcehfbb@mail.kz,,
3,stephanie,,,agjfcehfbb@mail.kz,,
3,,ito,,agjfcehfbb@mail.kz,,
3,stephanei,ito,,agjfcehfbb@mail.kz,,
3,stephanie,ido,,agjfcehfbb@mail.kz,,
3,stephanire,ito,,agjfcehfbb@mail.kz,,
